No	Hum	SC	Species
1	t	ab	Abies alba
2	t	ac	Acer
555	h	acd	Aconitum
104	h	ad	Adoxa moschatellina
281	h	agc	Agrimonia
349	h	aga	Agropyron t.
350	h	agb	Agrostemma githago
282	h	alg	Alchemilla t.
74	l	ai	Alisma
522	l	alb	Alisma plantago-aquatica
351	h	alc	Allium ursinum t.
352	h	ald	Allium vineale t.
3	t	al	Alnus undiff.
109	s	alf	Alnus viridis
499	n	am	Amphitrema
273	h	anj	Anagallis arvensis
111	h	and	Anchusa t.
162	d	anf	Andromeda polifolia cf.
666	h	anm	Androsacae t.
354	h	an	Anemone t.
137	h	ane	Antennaria t.
27	h	ach	Anthemis t.
356	h	anc	Anthericum
695	n	cpp	Copepoda T28
216	h	anh	Anthericum liliago
217	h	ani	Anthericum ramosum
624	n	anl	Anthoceros
610	h	ank	Anthriscus t.
193	h	ang	Anthyllis
53	h	ap	Apiaceae undiff.
501	n	ara	Arcella
138	h	are	Arctium
647	d	arj	Arctostaphylos
548	d	ard	Arctostaphylos alpina
163	d	arf	Arctostaphylos uva-ursi
656	h	arl	Armeria elongata
260	h	arg	Armeria maritima
261	h	arh	Armeria maritima A t.
262	h	ari	Armeria maritima B t.
683	h	arm	Arnica t.
649	h	ar	Artemisia
348	l	acc	Arum/Acorus
357	h	arc	Aruncus sylvestris
103	h	asb	Asarum europaeum
500	t	asa	Assulina
542	h	bi	Aster t.
378	h	coc	Asteraceae undiff. 
194	h	asc	Astragalus
195	h	asd	Astragalus alpinus
611	h	ase	Astrantia t.
106	p	atb	Athyrium
384	p	dre	Athyrium filix-femina
358	h	ava	Avena t.
360	h	bea	Bellis t.
107	s	bec	Berberis vulgaris
23	s	bn	Betula nana t.
706	p	ggg	konidium
4	t	bb	Betula undiff.
409	t	fff	Tilletia sphagni T27
110	h	bob	Boraginaceae
361	p	bo	Botrychium
687	p	eee	Assulina seminulum T32B
705	t	ddd	Helicoon pluriseptatum T30
35	h	cra	Brassicaceae undiff.
362	h	bua	Bupleurum
108	l	buc	Butomus umbellatus
363	s	bub	Buxus sempervirens
364	l	caa	Calla palustris
365	l	cab	Callitriche
24	d	cv	Calluna vulgaris
366	h	cad	Caltha t.
554	h	cap	Calystegia sepium
367	h	cae	Campanula
29	h	ca	Cannabaceae
368	t	ccc	Arcella flavum T31
489	h	cah	Cannabis/Humulus
369	h	cai	Carduus t.
370	t	aaa	Microthyrium sp. T8
551	p	bbb	jasne
5	t	cr	Carpinus betulus
30	h	cal	Caryophyllaceae undiff.
139	h	cei	Centaurea cf. kotschyana
31	h	cea	Centaurea cyanus
371	h	cec	Centaurea jacea t.
372	h	ceb	Centaurea scabiosa t.
171	h	cej	Centaurium
373	h	ced	Cerastium t.
458	n	cef	Ceratophyllum-hairs
173	h	ce	Cerealia undiff.
112	h	ceg	Cerinthe
164	d	chd	Chamaedaphne
667	h	chi	Chamaenerion angustifolium
678	n	chj	Charcoal
246	h	che	Chelidonium majus
33	h	ch	Chenopodiaceae
507	h	chb	Chenopodium album cf.
252	h	chf	Chimaphila
375	h	chc	Chrysanthemum t. cf.
295	h	chg	Chrysosplenium
41	h	lia	Cichoriaceae undiff. 
612	n	sss	soneczko
241	h	cib	Circaea
515	h	cod	Cirsium t.
140	t	hhh	T18/T19
81	l	cla	Cladium mariscus
517	l	coa	Comarum palustre
621	x	cop	Concealed
379	h	coe	Convolvulus arvensis
150	s	col	Cornus mas
485	s	cof	Cornus sanguinea
151	h	com	Cornus suecica
196	h	con	Coronilla
526	x	ska	Corroded
380	h	cog	Corydalis
247	h	coo	Corydalis solida t.
147	h	coj	Corylaceae
17	s	coh	Corylus avellana
148	s	cok	Corylus/Myrica
557	s	coi	Cotoneaster
149	p	crc	Cryptogramma crispa
381	h	cua	Cuscuta europaea t.
143	h	cub	Cuscuta lupuliformis
113	h	cyc	Cynoglossum
36	h	cya	Cyperaceae undiff.
382	h	cyb	Cyperus
383	h	daa	Dactylis t.
608	s	dab	Daphne
650	s	dad	Daphne mezereum
541	x	zd	Degraded
278	h	de	Delphinium t.
476	h	dia	Dianthus t.
233	p	dic	Diphasium alpinum
434	p	lye	Diphasium complanatum typ
234	p	did	Diphasium tristachyum
699	h	dif	Dipsacaceae
155	h	dib	Dipsacus
498	l	dra	Drosera anglica
157	l	drh	Drosera intermedia
497	l	dro	Drosera rotundifolia
532	h	drc	Dryas octopetala
545	p	dd	Dryopteris
385	p	drf	Dryopteris carthusiana t.
105	p	at	Dryopteris filix-mas
141	h	ecb	Echinops
386	h	eca	Echium vulgare
496	h	ela	Elatine
540	h	ely	Elymus t.
25	d	em	Empetrum
158	d	emb	Empetrum cf. nigrum
159	d	emc	Empetrum cf.hermaphrodit.
160	s	ep	Ephedra
301	s	epa	Ephedra distachya
546	s	epd	Ephedra fragilis t.
387	h	epb	Epilobium
242	h	epf	Epilobium angustifolium
388	h	epc	Epipactis palustris
56	p	eq	Equisetum
165	d	erd	Erica tetralix
161	d	er	Ericaceae undiff.
152	l	erb	Eriophorum t.
389	h	eua	Euphorbia
300	h	eub	Euphrasia
529	s	eva	Evonymus europaea
452	h	pae	Fabaceae undiff.
37	h	faa	Fagopyrum
6	t	ff	Fagus sylvatica
174	h	fe	Festuca t.
55	p	fm	Filicales monolete
38	h	fi	Filipendula
283	h	frb	Fragaria
18	s	fr	Frangula alnus
7	t	fx	Fraxinus excelsior
248	h	fu	Fumaria officinalis t.
219	h	gac	Gagea lutea t.
220	h	gad	Gagea pratensis t.
218	h	gab	Gagea t.
